price,location,bedroom,bathroom,carport,build_area,land_area,type
2390000000,Badung,2,2,1,80,106,villa
2400000000,Denpasar,4,3,0,100,100,rumah
1300000000,Denpasar,3,2,0,100,136,rumah
1300000000,Denpasar,3,2,0,100,147,rumah
6500000000,Badung,3,3,1,100,233,villa
1600000000,Badung,2,2,0,100,67,rumah
1500000000,Denpasar,3,2,0,120,124,rumah
499000000,Denpasar,2,1,1,30,50,rumah
499000000,Denpasar,2,1,1,30,50,rumah
550000000,Badung,2,1,1,30,50,rumah
600000000,Badung,1,1,1,30,50,rumah
675000000,Badung,2,1,0,30,50,rumah
685000000,Badung,2,1,0,30,50,rumah
320000000,Tabanan,2,1,1,30,60,rumah
320000000,Tabanan,2,1,1,30,60,rumah
430000000,Tabanan,2,1,0,30,60,rumah
195000000,Buleleng,2,1,0,32,70,rumah
300000000,Tabanan,2,1,1,35,74,rumah
780000000,Badung,2,1,1,35,100,rumah
260000000,Tabanan,2,1,0,36,60,rumah
750000000,Denpasar,2,1,0,36,60,rumah
750000000,Denpasar,2,1,1,36,60,rumah
630000000,Denpasar,2,1,1,36,64,rumah
365000000,Gianyar,2,1,0,36,70,rumah
240000000,Tabanan,2,1,0,36,72,rumah
240000000,Tabanan,2,1,0,36,72,rumah
260000000,Tabanan,2,1,0,36,72,rumah
260000000,Tabanan,2,1,1,36,72,rumah
270000000,Tabanan,2,1,0,36,72,rumah
280000000,Tabanan,2,1,1,36,72,rumah
295000000,Tabanan,2,1,0,36,72,rumah
360000000,Tabanan,2,1,0,36,72,rumah
618000000,Badung,2,1,0,36,73,rumah
685000000,Gianyar,2,1,1,36,77,rumah
700000000,Badung,2,1,1,36,84,rumah
850000000,Badung,2,1,0,36,88,rumah
200000000,Buleleng,2,1,0,36,100,rumah
250000000,Karangasem,2,1,0,36,100,rumah
300000000,Buleleng,2,1,0,36,100,rumah
380000000,Tabanan,2,1,0,36,100,rumah
699000000,Badung,2,1,1,36,100,rumah
700000000,Badung,2,1,0,36,100,rumah
780000000,Badung,2,1,1,36,100,rumah
780000000,Badung,2,1,1,36,100,rumah
780000000,Badung,2,1,0,36,100,rumah
780000000,Badung,2,1,1,36,100,rumah
825000000,Badung,2,1,0,36,100,rumah
918000000,Badung,2,2,1,36,100,rumah
918000000,Badung,2,1,0,36,100,rumah
918000000,Badung,2,1,1,36,100,rumah
918000000,Badung,2,1,0,36,100,rumah
918000000,Badung,2,1,1,36,100,rumah
900000000,Badung,2,1,0,36,101,rumah
300000000,Bangli,2,2,1,36,104,rumah
840000000,Badung,2,1,0,36,110,rumah
750000000,Badung,2,1,0,36,120,rumah
780000000,Badung,2,1,0,36,145,rumah
545000000,Gianyar,2,2,0,38,82,rumah
250000000,Tabanan,2,1,0,38,110,rumah
950000000,Denpasar,2,1,1,40,58,rumah
950000000,Denpasar,2,1,0,40,58,rumah
590000000,Denpasar,2,2,1,40,60,rumah
590000000,Denpasar,2,2,1,40,60,rumah
595000000,Denpasar,2,2,1,40,60,rumah
595000000,Denpasar,2,1,1,40,60,rumah
595000000,Denpasar,2,1,1,40,60,rumah
595000000,Denpasar,2,1,1,40,60,rumah
595000000,Denpasar,2,2,1,40,60,rumah
595000000,Denpasar,3,1,1,40,64,rumah
595000000,Denpasar,3,1,1,40,64,rumah
660000000,Denpasar,3,1,1,40,64,rumah
625000000,Badung,2,1,1,40,65,rumah
595000000,Denpasar,3,1,1,40,66,rumah
925000000,Denpasar,2,1,1,40,70,rumah
265000000,Tabanan,2,1,0,40,75,rumah
2000000000,Badung,1,1,1,40,80,villa
550000000,Tabanan,2,1,0,40,100,rumah
825000000,Badung,2,1,1,40,100,rumah
650000000,Badung,2,1,0,40,104,rumah
650000000,Badung,2,1,0,40,104,rumah
600000000,Badung,2,1,0,42,73,rumah
725000000,Tabanan,2,1,0,42,97,rumah
1500000000,Denpasar,2,1,0,42,100,rumah
550000000,Badung,2,1,0,45,50,rumah
575000000,Badung,2,1,0,45,50,rumah
649000000,Denpasar,3,1,0,45,65,rumah
675000000,Badung,2,1,0,45,70,rumah
