,price,location,bedroom,bathroom,carport,build_area,land_area,type
0,3600000000,Badung,3,3,1,131,136,villa
1,2500000000,Badung,2,2,1,131,136,villa
2,1950000000,Badung,3,3,1,131,136,villa
3,2200000000,Badung,3,3,1,131,136,rumah
4,2700000000,Badung,3,2,1,131,136,rumah
5,4000000000,Tabanan,3,4,1,131,136,villa
6,4500000000,Badung,3,3,2,131,136,rumah
7,3900000000,Badung,3,3,0,131,136,villa
8,3800000000,Badung,3,3,0,131,136,villa
9,5500000000,Badung,3,3,2,131,136,villa
10,4400000000,Denpasar,6,6,0,131,136,villa
11,1400000000,Buleleng,2,2,1,131,136,villa
12,1000000000,Denpasar,3,2,0,131,136,rumah
13,3630000000,Badung,3,3,1,131,136,villa
14,2500000000,Badung,3,2,0,131,136,villa
15,4900000000,Badung,3,3,1,131,136,villa
16,8250000000,Badung,4,4,1,131,136,villa
17,4500000000,Badung,3,3,0,131,136,villa
18,4930000000,Badung,3,3,0,131,136,villa
19,7350000000,Badung,4,5,0,310,307,villa
20,4130000000,Badung,3,3,1,310,307,villa
21,4900000000,Tabanan,4,5,2,310,307,villa
22,4500000000,Badung,4,4,0,310,307,villa
23,3400000000,Badung,3,3,1,310,307,villa
24,750000000,Badung,2,1,1,310,307,rumah
25,3000000000,Badung,2,2,2,310,307,villa
26,1600000000,Badung,3,2,1,310,307,rumah
27,1950000000,Denpasar,3,3,1,310,307,rumah
28,4300000000,Badung,3,3,1,310,307,villa
29,3850000000,Badung,3,3,0,310,307,villa
30,9000000000,Badung,3,3,1,310,307,villa
31,3930000000,Denpasar,3,3,2,310,307,villa
32,4300000000,Badung,3,4,0,310,307,villa
33,2800000000,Badung,3,3,1,310,307,villa
34,6300000000,Gianyar,4,4,2,310,307,villa
35,5500000000,Badung,2,2,1,310,307,villa
36,5920000000,Gianyar,3,3,1,131,124,villa
37,10500000000,Badung,6,6,4,131,124,villa
38,4000000000,Denpasar,6,4,3,131,124,rumah
39,3500000000,Denpasar,4,3,0,131,124,villa
40,6100000000,Badung,4,5,1,131,124,rumah
41,1500000000,Badung,7,5,1,131,124,rumah
42,5500000000,Badung,3,3,1,131,124,villa
43,1500000000,Denpasar,3,3,0,131,124,rumah
44,1400000000,Badung,3,2,0,131,124,rumah
45,3900000000,Badung,3,3,0,131,124,villa
46,8300000000,Gianyar,3,3,1,131,124,villa
47,2500000000,Denpasar,3,4,3,131,124,rumah
48,2750000000,Gianyar,3,3,1,131,124,villa
49,4500000000,Buleleng,2,2,2,131,124,villa
50,2300000000,Denpasar,3,2,2,120,150,rumah
51,7000000000,Gianyar,3,3,2,120,150,villa
52,3500000000,Badung,2,2,1,120,150,villa
53,10500000000,Badung,3,4,0,120,150,villa
54,5000000000,Gianyar,3,3,1,120,150,rumah
55,2200000000,Buleleng,6,3,2,120,150,rumah
56,325000000,Bangli,3,1,1,120,150,rumah
57,2860000000,Badung,3,4,1,120,150,villa
