title,harga,lokasi,tanggal,terjangkau_internet,dibangun,carport,pemandangan,kondisi_properti,konsep_dan_gaya_rumah,listrik,sumber_air,lantai,kamar_mandi,material_lantai,kamar_pembantu,hadap,direnovasi,sertifikat,material_bangunan,lebar_jalan,perabotan,kamar_tidur,luas_bangunan,dapur,ruang_tamu,ruang_makan,hook,garasi,kamar_mandi_pembantu,luas_tanah,kitchen_set,tempat_jemuran,tempat_laundry,one_gate_system,keamanan,kompor,jalur_telepon,keamanan_24_jam,taman,pemanas_air,mesin_cuci,kulkas,masjid,kolam_renang,ac,cctv,wastafel,playground,akses_parkir,kolam_ikan,ac.1,tipe
Rumah Paling Murah di Buleleng Seririt Bali Singaraja | Rumah123,195000000,Buleleng,2024-04-16,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,5500,PAM atau PDAM,1.0,1.0,Keramik,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Bata Merah,2 Mobil,Unfurnished,2.0,32,0,False,False,False,0,False,70,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH BARU GRES GRAHA SINABUN BULELENG BALI DEKAT SINGARAJA | Rumah123,200000000,Buleleng,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH MURAH SISA 6 UNIT DI LOKASI BERKEMBANG BANYUNING BULELENG | Rumah123,210000000,Buleleng,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,60,0,False,False,False,0,False,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH MINIMALIS SUASANA NYAMAN DAN ASRI DI TABANAN | Rumah123,240000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,2200,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
"RUMAH MURAH JL.MAMBANG, TABANAN | Rumah123",240000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH DI MELILING TABANAN | Rumah123,250000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,38,0,False,False,False,0,False,110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH DI KAWASAN KARANGASEM | Rumah123,250000000,Karangasem,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH KAVLING MURAH JL.MAJAPAHIT TABANAN | Rumah123,260000000,Tabanan,2024-04-12,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH MINIMALIS UDAYANA ESTATE | Rumah123,260000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
Di Jual Rumah Minimalis Di Tabanan | Rumah123,260000000,Tabanan,2024-06-13,True,2022.0,1,Pemukiman Warga,Baru,Minimalis Modern,1300,Sumur Bor,1.0,1.0,Keramik,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,1,True,True,False,0,False,72,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,rumah
